researcher_id,name,institution,statistical_score_100,expert_score_100,commercial_priority_score,commercial_rank
A5100719073,Tae‐Min Kim,Catholic Medical Center,98.83473989825363,93.76653587677322,96.80745828966147,1
A5106557026,Young Tae Kim,Seoul National University,100.0,85.78303458800686,94.31321383520275,2
A5023527433,Sung Hak Lee,LG (United States),91.48774803310657,90.42696779270106,91.06343593694437,3
A5057036329,Hongyoon Choi,Seoul National University,82.1354351050146,95.82696846410856,87.61204844865219,4
A5027741708,Jaemoon Koh,Seoul National University Hospital,76.43169408892962,91.43512323655195,82.43306574797855,5
A5110948257,Kwon Joong Na,Seoul National University,70.52637114579554,100.0,82.31582268747732,6
A5017735770,Hoon Hur,Ajou University,80.76895873188347,80.18720255667165,80.53625626179874,7
A5101445353,Yeon Hee Park,Samsung Medical Center,78.02973011910535,82.76555550581313,79.92406027378846,8
A5053879044,Sungwoo Bae,Seoul National University,65.16745070863199,97.43881742447631,78.07599739496972,9
A5014147627,Junho K. Hur,Hanyang University,74.56124692059251,81.95998640379058,77.52074271387173,10
A5030936631,Eun Kyoung Kim,Samsung Medical Center,88.10668889420535,58.82411056470398,76.3936575624048,11
A5067428277,Hyung‐Jun Im,Seoul National University of Science and Technology,74.42899225222975,78.70089008062627,76.13775138358835,12
A5008352862,In Hye Song,Ulsan College,79.2487209342702,66.6288716279663,74.20078121174865,13
A5069050806,Seock‐Ah Im,Seoul National University,79.68211566512238,65.61608285218958,74.05570253994927,14
A5011818793,Jin Roh,Ulsan College,78.69768751433386,66.85366744924876,73.96007948829983,15
A5100740580,Jihwan Park,Gwangju Institute of Science and Technology,69.76617320579362,77.14757356892096,72.71873335104456,16
A5100626021,Dongjun Lee,Seoul National University,76.10710396237714,66.49304042199824,72.26147854622559,17
A5000858768,Ji‐Hye Park,Samsung Medical Center,79.79015755482301,58.130756014646536,71.12639693875242,18
A5070011199,Daeun Ryu,Hongik University,65.51781909026424,78.92744230420456,70.88166837584038,19
A5058349680,Yun Hak Kim,Pusan National University Yangsan Hospital,66.96907160560227,75.8951893783718,70.53951871471008,20
A5004152384,Joonho Shim,Instituto Benjamin Constant,70.52521706740606,69.42409367547016,70.0847677106317,21
A5100436321,Dong Soo Lee,Pohang University of Science and Technology,75.23036241322268,60.927506427212876,69.50922001881875,22
A5022724648,Chan Kwon Jung,Catholic University of Korea,75.38799616937047,58.53246862316266,68.64578515088735,23
A5030577122,Joohyuk Sohn,Ulsan College,73.75975557579707,60.51458179977697,68.46168606538903,24
A5045212145,Joo Sang Lee,National Cancer Institute,64.9116123756731,73.18991808972456,68.22293466129369,25
A5101966875,Chul‐Ho Kim,Il-Yang Pharmaceutical (South Korea),74.38823164578729,58.82505776269714,68.16296209255123,26
A5000694290,Yeun‐Jun Chung,Catholic University of Korea,73.38949385250984,59.44789471373431,67.81285419699964,27
A5024506731,Jun Yong Choi,Korea Advanced Institute of Science and Technology,73.34783884717243,58.036396684626055,67.22326198215387,28
A5052450087,Heounjeong Go,Ulsan College,72.17166782811634,59.52928030267384,67.11471281793933,29
A5059766169,Do‐Youn Oh,Seoul National University Hospital,74.54069819887386,55.310510192262896,66.84862299622947,30
A5071885891,Won Seog Kim,Samsung Medical Center,77.23429433343254,47.7254185964607,65.43074403864381,31
A5049348377,Kyung Hae Jung,Ulsan College,75.20932173408117,50.61339587815288,65.37095139170985,32
A5080425676,Dong‐Youn Lee,Samsung Medical Center,73.19152688564292,53.40126594641489,65.27542250995171,33
A5036203067,Jeon Yeob Jang,University of Suwon,67.37272438286129,59.232101829680374,64.11647536158893,34
A5114626485,Seok‐Hyung Kim,CHA University Bundang Medical Center,66.59847573442951,55.05387237425986,61.98063439036166,35
A5103233378,Kyo Young Song,The Catholic University of Korea Seoul St. Mary's Hospital,72.93899222323455,45.060881418182596,61.78774790121376,36
A5011844783,Jeongbin Park,Seoul National University,47.63992961105626,82.21905779741758,61.47158088560079,37
A5090481007,Hae‐Ock Lee,Catholic University of Korea,61.3711709573478,60.75903732601,61.12631750481268,38
A5029278469,In‐Hye Ham,Ajou University,62.59489181989494,58.46232602820827,60.94186550322027,39
A5017051670,Kiyuk Chang,The Catholic University of Korea Seoul St. Mary's Hospital,66.21953882366904,51.62706859616528,60.38255073266754,40
A5026578909,Junil Kim,Soongsil University,54.89504120140709,67.75965229071626,60.040885637130756,41
A5007465704,Hae Ryoun Park,Pusan National University,62.60653773388603,54.99911560174547,59.56356888102981,42
A5058838920,Seung‐Hyun Jung,Catholic University of Korea,64.612599790711,48.32359956089434,58.09699969878434,43
A5100726747,Sumin Lee,Korea Meteorological Administration,49.10880096318654,71.31480044445529,57.99120075569404,44
A5076943605,Eunsung Jun,Ulsan College,62.36725294546298,51.254883759961956,57.92230527126257,45
A5101984443,Jong Hee Lee,Samsung (South Korea),61.28963016661167,50.732336454314265,57.06671268169271,46
A5044769724,Hansong Lee,Pusan National University Yangsan Hospital,43.92009534449373,75.20607005129126,56.43448522721275,47
A5004427808,Taeyun Ku,Korea Advanced Institute of Science and Technology,58.336908626586315,52.27193590275072,55.91091953705208,48
A5014354862,Dagyeong Lee,University of Suwon,47.313778963153105,68.70338654581609,55.8696219962183,49
A5026459010,Sung‐Bae Kim,University of Ulsan,64.17652294120273,42.96746651748985,55.692900371717585,50
A5019834339,Sohee Park,Soongsil University,65.13414020765549,40.91086338122509,55.44482947708333,51
A5001973152,Yoori Choi,Seoul National University of Science and Technology,54.59998967245973,56.133188822668544,55.213269332543256,52
A5110208084,Hye Jeong Oh,University of Suwon,53.86465415478674,56.6587023928658,54.98227345001836,53
A5023482684,Minseok Suh,Seoul National University,54.30861052924815,55.74823583335502,54.8844606508909,54
A5055121468,Hye Jin Heo,Pusan National University,57.487056348548926,50.8553833514152,54.83438714969543,55
A5031068192,Seung‐Woo Cho,Kangwon National University,61.675584722109264,42.96171959784046,54.19003867240174,56
A5100625452,Jeong Hwan Park,National Cancer Center,59.128600868243666,46.45916384429957,54.060826058666024,57
A5050317153,Byeong‐Cheol Ahn,Kyungpook National University Hospital,61.14616568917987,43.17424381184152,53.95739693824453,58
A5100380876,Jin Kim,Soongsil University,61.07174857005487,43.07970657536544,53.874931772179096,59
A5114549702,Seungho Lee,Korea University,45.94819926249285,64.31655311160736,53.29554080213865,60
A5101765150,Seung Eun Baek,Institute for Basic Science,55.164165994618365,50.17407580830918,53.1681299200947,61
A5038666848,Chang Ho Sohn,Korea Advanced Institute of Science and Technology,52.74602569302047,52.48192252462856,52.64038442566371,62
A5038366277,Keun Seok Lee,National Cancer Center,57.849357064658754,44.421805913442164,52.47833660417212,63
A5033646196,Se Jin Oh,Samsung Medical Center,56.464677971037624,46.20797909102031,52.3619984190307,64
A5060938154,Yosep Chong,The Catholic University of Korea Uijeongbu St. Mary's Hospital,52.913856035098085,50.879682272286495,52.10018652997345,65
A5056137004,Hyeseong Lee,Lewis University,47.79322264300217,57.47039344215107,51.66409096266173,66
A5030607871,Sun Wook Cho,New Generation University College,55.43366152293993,45.832716766578905,51.59328362039552,67
A5028464804,Prakash Gangadaran,Kyungpook National University,48.80152955457767,55.09489948059668,51.318877524985275,68
A5045748813,Ju Hyun Yun,Ewha Womans University,39.047908249834705,69.70160976458354,51.30938885573424,69
A5006671739,Rosalind H. Lee,Gwangju Institute of Science and Technology,36.205603984710464,72.94849995366368,50.902762372291754,70
A5042831733,Youngbeen Moon,National Cancer Center,48.71815531870427,54.073058891409275,50.86011674778627,71
A5033057281,Yunjung Jin,Ewha Womans University,40.668880225413275,65.74409735100197,50.69896707564875,72
