researcher_id,openalex_id,orcid,full_name,name_variants,openalex_profile_url,identity_status,identity_confidence,identity_match_method,institution_id,institution_name_raw,institution_name_normalized,institution_country_code,institution_type,publication_count,works_count_source,citation_count,h_index,first_publication_year,latest_publication_year,career_span_years,publications_last_3y,publications_last_5y,avg_citations_per_work,publication_cagr_3y,spatial_transcriptomics_flag,spatial_transcriptomics_count,single_cell_flag,single_cell_count,visium_flag,visium_count,xenium_flag,xenium_count,merfish_flag,merfish_count,slide_seq_flag,slide_seq_count,atac_seq_flag,atac_seq_count,multiome_flag,multiome_count,ngs_flag,technology_diversity_count,technology_recency_year,unique_coauthor_count,institution_collaboration_count,primary_source,evidence_count,feature_completeness_rate,record_quality_score,collection_run_id,pipeline_version,ontology_version,feature_dictionary_version,collected_at,validation_issue_count,warning_count
A5000694290,A5000694290,0000-0002-6943-5948,Yeun‐Jun Chung,Chung Yeun-Jun|Y Chung|Y J Chung|Y. J. Chung|Y.-J. Chung|Y.J. Chung|YEUN-JUN CHUNG|Yeun-Jun Chung|Yeun‐Jun Chung|Yeun–Jun Chung,https://openalex.org/A5000694290,verified,1.0,provided_openalex_id,I87111246,Catholic University of Korea,Catholic University of Korea,KR,education,282,OpenAlex,4972,39,1996,2026,31,30,85,17.6312,-0.5775,1,1,1,32,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2026,887,253,OpenAlex,73,1.0,100.0,20260731T085741Z,1.1.0,1.1,1.1,2026-07-31T08:57:41.782804+00:00,0,0
A5000858768,A5000858768,0000-0002-6699-5202,Ji‐Hye Park,"J. Park|J.-H. Park|J.‐H. Park|JI-HYE PARK|Ji Hye Park|Ji-Hye PARK|Ji-Hye Park|Ji-hye Park|Jihye Park|Ji‐Hye PARK|Ji‐Hye Park|Park, J.-H.|Park, Ji Hye|Park, Ji-Hye",https://openalex.org/A5000858768,verified,1.0,provided_openalex_id,I2802194831,Samsung Medical Center,Samsung Medical Center,KR,healthcare,612,OpenAlex,8026,46,1998,2026,29,67,130,13.1144,-0.1728,1,5,1,16,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2025,1655,288,OpenAlex,72,1.0,100.0,20260731T085741Z,1.1.0,1.1,1.1,2026-07-31T08:57:41.782804+00:00,0,0
A5000867275,A5000867275,0009-0006-3045-5657,Hae Seul Lee,H Lee|Hae Seul Lee,https://openalex.org/A5000867275,verified,1.0,provided_openalex_id,I4210149111,Pusan National University Yangsan Hospital,Pusan National University Yangsan Hospital,KR,healthcare,6,OpenAlex,70,3,2011,2026,16,5,5,11.6667,5.0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,2024,61,17,OpenAlex,72,1.0,100.0,20260731T085741Z,1.1.0,1.1,1.1,2026-07-31T08:57:41.782804+00:00,0,0
A5001441680,A5001441680,0000-0003-0820-6233,Ji Young Mun,"J Y Mun|Ji Mun|Ji Young MUN|Ji Young Mun|Jimin Mun|Ji Young Mun|Ji Young Mun|Mun, Ji Young",https://openalex.org/A5001441680,verified,1.0,provided_openalex_id,I4210155455,Korea Brain Research Institute,Korea Brain Research Institute,KR,facility,156,OpenAlex,4993,36,2000,2026,27,25,46,32.0064,-0.2424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2017,773,216,OpenAlex,72,1.0,100.0,20260731T085741Z,1.1.0,1.1,1.1,2026-07-31T08:57:41.782804+00:00,0,0
A5001973152,A5001973152,0000-0002-4634-5974,Yoori Choi,"Choi, Yoori|Y Choi|Y. B. Choi|Y. Choi|Yoori Choi",https://openalex.org/A5001973152,verified,1.0,provided_openalex_id,I118373667,Seoul National University of Science and Technology,Seoul National University of Science and Technology,KR,education,61,OpenAlex,1234,16,1991,2026,36,14,28,20.2295,-0.2222,1,13,1,4,1,2,0,0,0,0,0,0,0,0,0,0,0,3,2024,193,61,OpenAlex,73,1.0,100.0,20260731T085741Z,1.1.0,1.1,1.1,2026-07-31T08:57:41.782804+00:00,0,0
A5003517879,A5003517879,0000-0001-5800-8038,Young‐Koo Jee,Y Jee|Y K Jee|Y K. Jee|Y-K. Jee|Y. Jee|Y. K. JEE|Y. K. Jee|Y.-K. Jee|Y.K. Jee|Y.‐K. Jee|Young Jee|Young Koo Jee|Young-Koo Jee|Youngkoo Jee|Young‐Koo Jee|Yung-Koo Jee,https://openalex.org/A5003517879,verified,1.0,provided_openalex_id,I89015989,Dankook University,Dankook University,KR,education,192,OpenAlex,5567,37,1990,2025,36,4,10,28.9948,-0.4286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2019,832,199,OpenAlex,73,1.0,100.0,20260731T085741Z,1.1.0,1.1,1.1,2026-07-31T08:57:41.782804+00:00,0,0
A5004152384,A5004152384,0000-0002-3974-1290,Joonho Shim,J. H. Shim|J.-H Shim|J.-H. SHIM|J.-H. Shim|J.H. Shim|JOON HO SHIM|Joon Ho Shim|Joon-Ho Shim|Joonho Shim|Joonho shim,https://openalex.org/A5004152384,verified,1.0,provided_openalex_id,I240707841,Instituto Benjamin Constant,Instituto Benjamin Constant,BR,government,102,OpenAlex,1373,21,2002,2026,25,20,46,13.4608,-0.3548,1,8,1,19,0,0,0,0,0,0,0,0,0,0,1,1,1,4,2026,379,68,OpenAlex,71,1.0,100.0,20260731T085741Z,1.1.0,1.1,1.1,2026-07-31T08:57:41.782804+00:00,0,0
A5004427808,A5004427808,0000-0001-9447-7579,Taeyun Ku,"Ku, Taeyun|T. C. Ku|T.S. Ku|Taeyun Ku",https://openalex.org/A5004427808,verified,1.0,provided_openalex_id,I157485424,Korea Advanced Institute of Science and Technology,Korea Advanced Institute of Science and Technology,KR,education,56,OpenAlex,3513,20,1961,2026,66,12,20,62.7321,0.0909,1,5,1,4,0,0,0,0,0,0,0,0,0,0,1,1,0,3,2024,316,82,OpenAlex,73,1.0,100.0,20260731T085741Z,1.1.0,1.1,1.1,2026-07-31T08:57:41.782804+00:00,0,0
A5005712891,A5005712891,0000-0002-7101-0236,Jang Hoon Lee,JANG H. LEE|JANG HOON LEE|JANG-HOON LEE|Jang H. Lee|Jang Hoon Lee|Jang hoon Lee|Jang-Hoon LEE|Jang-Hoon Lee|Jang-hoon Lee|Jang Hoon Lee|Jang‐Hoon LEE,https://openalex.org/A5005712891,verified,1.0,provided_openalex_id,I2801673063,Kyungpook National University Hospital,Kyungpook National University Hospital,KR,healthcare,306,OpenAlex,3125,30,1986,2026,41,24,61,10.2124,-0.5472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2025,827,166,OpenAlex,72,1.0,100.0,20260731T085741Z,1.1.0,1.1,1.1,2026-07-31T08:57:41.782804+00:00,0,0
A5006671739,A5006671739,,Rosalind H. Lee,Rosalind H Lee|Rosalind H. Lee,https://openalex.org/A5006671739,verified,1.0,provided_openalex_id,I39534123,Gwangju Institute of Science and Technology,Gwangju Institute of Science and Technology,KR,education,3,OpenAlex,99,2,2023,2026,4,2,3,33.0,1.0,1,5,1,7,0,0,0,0,0,0,0,0,1,1,1,2,0,4,2026,21,8,OpenAlex,71,1.0,100.0,20260731T085741Z,1.1.0,1.1,1.1,2026-07-31T08:57:41.782804+00:00,0,0
