researcher_id_a,researcher_id_b,window,joint_publication_count,first_joint_year,latest_joint_year,source,collected_at,run_id
A5000694290,A5058838920,all,124,2007,2025,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5000694290,A5052602817,all,32,2014,2024,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5000694290,A5101667014,all,1,2022,2022,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5000694290,A5018869966,all,1,2022,2022,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5000694290,A5101593845,all,1,2022,2022,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5000694290,A5011174551,all,1,2022,2022,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5000694290,A5028507019,all,1,2022,2022,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5000694290,A5017051670,all,1,2022,2022,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5000694290,A5100719073,all,50,2005,2023,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5000694290,A5023527433,all,45,2015,2023,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5000694290,A5022724648,all,8,2010,2022,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5000694290,A5101725413,all,2,2009,2015,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5000694290,A5004152384,all,1,2018,2018,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5000694290,A5049348377,all,1,2018,2018,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5000694290,A5069050806,all,1,2018,2018,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5000694290,A5106557026,all,1,2013,2013,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5000858768,A5080425676,all,104,2009,2024,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5000858768,A5004152384,all,38,2015,2024,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5000858768,A5033646196,all,51,2016,2026,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5000858768,A5089359189,all,5,2022,2024,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5000858768,A5084508227,all,8,2020,2024,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5000858768,A5114626485,all,3,2022,2024,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5000858768,A5101984443,all,74,2015,2026,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5000858768,A5058349680,all,1,2019,2019,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5000858768,A5100626021,all,2,2018,2018,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5000858768,A5083630059,all,2,2021,2024,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5000858768,A5024506731,all,1,2020,2020,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5000858768,A5070538830,all,1,2024,2024,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5000867275,A5044769724,all,2,2024,2024,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5000867275,A5019834339,all,1,2024,2024,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5000867275,A5045748813,all,1,2024,2024,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5000867275,A5110118275,all,1,2024,2024,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5000867275,A5042100493,all,1,2024,2024,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5000867275,A5052722112,all,1,2024,2024,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5000867275,A5044524626,all,1,2024,2024,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5000867275,A5007465704,all,3,2024,2026,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5000867275,A5100626021,all,1,2024,2024,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5000867275,A5011818793,all,1,2024,2024,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5000867275,A5055121468,all,3,2024,2026,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5000867275,A5101765150,all,2,2024,2024,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5000867275,A5030936631,all,1,2024,2024,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5000867275,A5101966875,all,1,2024,2024,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5000867275,A5058349680,all,5,2024,2025,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5000867275,A5036203067,all,1,2024,2024,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5001441680,A5109616230,all,26,2017,2026,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5001441680,A5030936631,all,2,2019,2021,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5001441680,A5113327383,all,1,2023,2023,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5001441680,A5073934092,all,5,2021,2023,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5001441680,A5012763936,all,5,2023,2025,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5001441680,A5080393838,all,3,2023,2024,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5001441680,A5060611882,all,1,2023,2023,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5001973152,A5100436321,all,20,2015,2024,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5001973152,A5057036329,all,8,2015,2024,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5001973152,A5023482684,all,9,2020,2024,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5001973152,A5053879044,all,4,2021,2024,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5001973152,A5100406800,all,2,2023,2024,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5003517879,A5030936631,all,2,2019,2019,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5003517879,A5044524626,all,1,2009,2009,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5004152384,A5033646196,all,23,2016,2024,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5004152384,A5089359189,all,7,2022,2024,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5004152384,A5084508227,all,8,2022,2024,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5004152384,A5114626485,all,3,2022,2024,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5004152384,A5080425676,all,41,2015,2024,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5004152384,A5101984443,all,36,2013,2024,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5004152384,A5054931904,all,1,2021,2021,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5004152384,A5071885891,all,7,2020,2024,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5004152384,A5049348377,all,1,2018,2018,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5004152384,A5069050806,all,1,2018,2018,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5004152384,A5100719073,all,1,2019,2019,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5004427808,A5038666848,all,4,2018,2023,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5004427808,A5045410556,all,1,2023,2023,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5004427808,A5064908728,all,1,2023,2023,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5004427808,A5006671739,all,1,2023,2023,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
