researcher_id,name,institution,commercial_priority_score,tier,segment,research_intelligence_score,technology_adoption_score,key_drivers,considerations
A5100719073,Tae‐Min Kim,Catholic Medical Center,96.80745828966147,Tier S,Strategic Target,98.83473989825363,93.76653587677322,High technology adoption index | High spatial-transcriptomics evidence | Strong single-cell activity | Strong collaboration network | Strong institutional environment,No bottom-quartile consideration among reviewed signals
A5106557026,Young Tae Kim,Seoul National University,94.31321383520275,Tier S,Strategic Target,100.0,85.78303458800686,High technology adoption index | High spatial-transcriptomics evidence | Strong single-cell activity | Strong collaboration network | Strong institutional environment,Low recent research momentum
A5023527433,Sung Hak Lee,LG (United States),91.06343593694437,Tier S,Strategic Target,91.48774803310657,90.42696779270106,High technology adoption index | High spatial-transcriptomics evidence | Strong single-cell activity | Strong collaboration network | Strong institutional environment,No bottom-quartile consideration among reviewed signals
A5057036329,Hongyoon Choi,Seoul National University,87.61204844865219,Tier S,Strategic Target,82.1354351050146,95.82696846410856,High technology adoption index | High spatial-transcriptomics evidence | Strong single-cell activity | Strong collaboration network | Strong institutional environment,No bottom-quartile consideration among reviewed signals
A5027741708,Jaemoon Koh,Seoul National University Hospital,82.43306574797855,Tier S,Strategic Target,76.43169408892962,91.43512323655195,High technology adoption index | High spatial-transcriptomics evidence | Strong single-cell activity | High recent research momentum | Strong institutional environment,No bottom-quartile consideration among reviewed signals
A5110948257,Kwon Joong Na,Seoul National University,82.31582268747732,Tier S,Strategic Target,70.52637114579554,100.0,High technology adoption index | High spatial-transcriptomics evidence | Strong single-cell activity | High recent research momentum | Strong institutional environment,No bottom-quartile consideration among reviewed signals
A5017735770,Hoon Hur,Ajou University,80.53625626179874,Tier S,Strategic Target,80.76895873188347,80.18720255667165,High technology adoption index | High spatial-transcriptomics evidence | Strong single-cell activity | Strong collaboration network,No bottom-quartile consideration among reviewed signals
A5101445353,Yeon Hee Park,Samsung Medical Center,79.92406027378846,Tier S,Strategic Target,78.02973011910535,82.76555550581313,High technology adoption index | High spatial-transcriptomics evidence | Strong collaboration network | Strong institutional environment,No bottom-quartile consideration among reviewed signals
A5053879044,Sungwoo Bae,Seoul National University,78.07599739496972,Tier S,Strategic Target,65.16745070863199,97.43881742447631,High technology adoption index | High spatial-transcriptomics evidence | Strong single-cell activity | High recent research momentum | Strong institutional environment,No bottom-quartile consideration among reviewed signals
A5014147627,Junho K. Hur,Hanyang University,77.52074271387173,Tier S,Strategic Target,74.56124692059251,81.95998640379058,High technology adoption index | High spatial-transcriptomics evidence | Strong collaboration network | Strong institutional environment,No bottom-quartile consideration among reviewed signals
A5030936631,Eun Kyoung Kim,Samsung Medical Center,76.3936575624048,Tier S,Strategic Target,88.10668889420535,58.82411056470398,Strong collaboration network | Strong institutional environment,Low recent research momentum
A5067428277,Hyung‐Jun Im,Seoul National University of Science and Technology,76.13775138358835,Tier S,Strategic Target,74.42899225222975,78.70089008062627,High technology adoption index | High spatial-transcriptomics evidence | Strong single-cell activity,No bottom-quartile consideration among reviewed signals
A5008352862,In Hye Song,Ulsan College,74.20078121174865,Tier S,Strategic Target,79.2487209342702,66.6288716279663,Strong collaboration network | Strong institutional environment,No bottom-quartile consideration among reviewed signals
A5069050806,Seock‐Ah Im,Seoul National University,74.05570253994927,Tier S,Strategic Target,79.68211566512238,65.61608285218958,Strong collaboration network | Strong institutional environment,Limited spatial-transcriptomics evidence
A5011818793,Jin Roh,Ulsan College,73.96007948829983,Tier S,Strategic Target,78.69768751433386,66.85366744924876,High technology adoption index | High spatial-transcriptomics evidence | Strong collaboration network | Strong institutional environment,No bottom-quartile consideration among reviewed signals
A5100740580,Jihwan Park,Gwangju Institute of Science and Technology,72.71873335104456,Tier S,Strategic Target,69.76617320579362,77.14757356892096,High technology adoption index | High spatial-transcriptomics evidence | Strong single-cell activity,No bottom-quartile consideration among reviewed signals
A5100626021,Dongjun Lee,Seoul National University,72.26147854622559,Tier A,Strategic Target,76.10710396237714,66.49304042199824,High technology adoption index | Strong single-cell activity | Strong collaboration network | Strong institutional environment,No bottom-quartile consideration among reviewed signals
A5000858768,Ji‐Hye Park,Samsung Medical Center,71.12639693875242,Tier A,Strategic Target,79.79015755482301,58.130756014646536,High technology adoption index | High spatial-transcriptomics evidence | Strong single-cell activity | Strong collaboration network | Strong institutional environment,Low recent research momentum
A5070011199,Daeun Ryu,Hongik University,70.88166837584038,Tier A,Strategic Target,65.51781909026424,78.92744230420456,High technology adoption index | High spatial-transcriptomics evidence | Strong single-cell activity | High recent research momentum | Strong collaboration network,No bottom-quartile consideration among reviewed signals
A5058349680,Yun Hak Kim,Pusan National University Yangsan Hospital,70.53951871471008,Tier A,Strategic Target,66.96907160560227,75.8951893783718,High technology adoption index | Strong single-cell activity | High recent research momentum | Strong collaboration network | Strong institutional environment,No bottom-quartile consideration among reviewed signals
A5004152384,Joonho Shim,Instituto Benjamin Constant,70.0847677106317,Tier A,Strategic Target,70.52521706740606,69.42409367547016,High technology adoption index | High spatial-transcriptomics evidence | Strong single-cell activity | Strong collaboration network | Strong institutional environment,No bottom-quartile consideration among reviewed signals
A5100436321,Dong Soo Lee,Pohang University of Science and Technology,69.50922001881875,Tier A,Strategic Target,75.23036241322268,60.927506427212876,High technology adoption index | High spatial-transcriptomics evidence | Strong single-cell activity | Strong collaboration network,Low recent research momentum
A5022724648,Chan Kwon Jung,Catholic University of Korea,68.64578515088735,Tier A,Strategic Target,75.38799616937047,58.53246862316266,Strong collaboration network,Low recent research momentum
A5030577122,Joohyuk Sohn,Ulsan College,68.46168606538903,Tier A,Strategic Target,73.75975557579707,60.51458179977697,Strong collaboration network | Strong institutional environment,Limited spatial-transcriptomics evidence
A5045212145,Joo Sang Lee,National Cancer Institute,68.22293466129369,Tier A,Strategic Target,64.9116123756731,73.18991808972456,High technology adoption index | High spatial-transcriptomics evidence | Strong single-cell activity | High recent research momentum | Strong institutional environment,Limited observed collaboration-network signal
A5101966875,Chul‐Ho Kim,Il-Yang Pharmaceutical (South Korea),68.16296209255123,Tier A,Strategic Target,74.38823164578729,58.82505776269714,Strong collaboration network,No bottom-quartile consideration among reviewed signals
A5000694290,Yeun‐Jun Chung,Catholic University of Korea,67.81285419699964,Tier A,Strategic Target,73.38949385250984,59.44789471373431,Strong single-cell activity | Strong collaboration network,No bottom-quartile consideration among reviewed signals
A5024506731,Jun Yong Choi,Korea Advanced Institute of Science and Technology,67.22326198215387,Tier A,Strategic Target,73.34783884717243,58.036396684626055,High technology adoption index | High spatial-transcriptomics evidence | Strong collaboration network,Low recent research momentum
A5052450087,Heounjeong Go,Ulsan College,67.11471281793933,Tier A,Strategic Target,72.17166782811634,59.52928030267384,Strong collaboration network | Strong institutional environment,Limited spatial-transcriptomics evidence
A5059766169,Do‐Youn Oh,Seoul National University Hospital,66.84862299622947,Tier A,Strategic Target,74.54069819887386,55.310510192262896,Strong institutional environment,Limited spatial-transcriptomics evidence
A5071885891,Won Seog Kim,Samsung Medical Center,65.43074403864381,Tier A,Strategic Target,77.23429433343254,47.7254185964607,Strong collaboration network | Strong institutional environment,Low technology evidence | Limited spatial-transcriptomics evidence | Low recent research momentum
A5049348377,Kyung Hae Jung,Ulsan College,65.37095139170985,Tier A,Strategic Target,75.20932173408117,50.61339587815288,Strong collaboration network | Strong institutional environment,Low technology evidence | Limited spatial-transcriptomics evidence
A5080425676,Dong‐Youn Lee,Samsung Medical Center,65.27542250995171,Tier A,Strategic Target,73.19152688564292,53.40126594641489,High technology adoption index | High spatial-transcriptomics evidence | Strong single-cell activity | Strong institutional environment,Low recent research momentum
A5036203067,Jeon Yeob Jang,University of Suwon,64.11647536158893,Tier A,Strategic Target,67.37272438286129,59.232101829680374,Strong collaboration network,No bottom-quartile consideration among reviewed signals
A5114626485,Seok‐Hyung Kim,CHA University Bundang Medical Center,61.98063439036166,Tier A,Strategic Target,66.59847573442951,55.05387237425986,Strong single-cell activity | Strong collaboration network,No bottom-quartile consideration among reviewed signals
A5103233378,Kyo Young Song,The Catholic University of Korea Seoul St. Mary's Hospital,61.78774790121376,Tier A,Academic Leader,72.93899222323455,45.060881418182596,Strong collaboration network,Limited single-cell activity | Low recent research momentum
A5011844783,Jeongbin Park,Seoul National University,61.47158088560079,Tier A,Emerging Adopter,47.63992961105626,82.21905779741758,High technology adoption index | High spatial-transcriptomics evidence | Strong single-cell activity | High recent research momentum | Strong institutional environment,No bottom-quartile consideration among reviewed signals
A5090481007,Hae‐Ock Lee,Catholic University of Korea,61.12631750481268,Tier A,Strategic Target,61.3711709573478,60.75903732601,High technology adoption index | Strong single-cell activity,No bottom-quartile consideration among reviewed signals
A5029278469,In‐Hye Ham,Ajou University,60.94186550322027,Tier A,Strategic Target,62.59489181989494,58.46232602820827,High technology adoption index | High spatial-transcriptomics evidence | Strong single-cell activity,No bottom-quartile consideration among reviewed signals
A5017051670,Kiyuk Chang,The Catholic University of Korea Seoul St. Mary's Hospital,60.38255073266754,Tier A,Strategic Target,66.21953882366904,51.62706859616528,Balanced profile without a dominant top-quartile driver,No bottom-quartile consideration among reviewed signals
A5026578909,Junil Kim,Soongsil University,60.040885637130756,Tier A,Strategic Target,54.89504120140709,67.75965229071626,High technology adoption index | High spatial-transcriptomics evidence | Strong single-cell activity,Limited observed collaboration-network signal | Limited institutional signal
A5007465704,Hae Ryoun Park,Pusan National University,59.56356888102981,Tier A,Strategic Target,62.60653773388603,54.99911560174547,High technology adoption index | Strong single-cell activity | Strong collaboration network,No bottom-quartile consideration among reviewed signals
A5058838920,Seung‐Hyun Jung,Catholic University of Korea,58.09699969878434,Tier A,Strategic Target,64.612599790711,48.32359956089434,Strong single-cell activity,Low recent research momentum
A5100726747,Sumin Lee,Korea Meteorological Administration,57.99120075569404,Tier A,Emerging Adopter,49.10880096318654,71.31480044445529,High technology adoption index | High spatial-transcriptomics evidence | Strong single-cell activity | High recent research momentum | Strong institutional environment,Limited observed collaboration-network signal
A5076943605,Eunsung Jun,Ulsan College,57.92230527126257,Tier A,Strategic Target,62.36725294546298,51.254883759961956,Strong institutional environment,Limited spatial-transcriptomics evidence
A5101984443,Jong Hee Lee,Samsung (South Korea),57.06671268169271,Tier A,Strategic Target,61.28963016661167,50.732336454314265,High technology adoption index | Strong single-cell activity,No bottom-quartile consideration among reviewed signals
A5044769724,Hansong Lee,Pusan National University Yangsan Hospital,56.43448522721275,Tier A,Emerging Adopter,43.92009534449373,75.20607005129126,High recent research momentum | Strong collaboration network | Strong institutional environment,No bottom-quartile consideration among reviewed signals
A5004427808,Taeyun Ku,Korea Advanced Institute of Science and Technology,55.91091953705208,Tier A,Strategic Target,58.336908626586315,52.27193590275072,High spatial-transcriptomics evidence,No bottom-quartile consideration among reviewed signals
A5014354862,Dagyeong Lee,University of Suwon,55.8696219962183,Tier B,Emerging Adopter,47.313778963153105,68.70338654581609,High technology adoption index | High spatial-transcriptomics evidence | High recent research momentum,No bottom-quartile consideration among reviewed signals
A5026459010,Sung‐Bae Kim,University of Ulsan,55.692900371717585,Tier B,Academic Leader,64.17652294120273,42.96746651748985,Balanced profile without a dominant top-quartile driver,Low technology evidence | Limited spatial-transcriptomics evidence | Limited single-cell activity
A5019834339,Sohee Park,Soongsil University,55.44482947708333,Tier B,Academic Leader,65.13414020765549,40.91086338122509,Strong collaboration network,Limited single-cell activity | Low recent research momentum | Limited institutional signal
A5001973152,Yoori Choi,Seoul National University of Science and Technology,55.213269332543256,Tier B,Strategic Target,54.59998967245973,56.133188822668544,High technology adoption index | High spatial-transcriptomics evidence,Limited observed collaboration-network signal
A5110208084,Hye Jeong Oh,University of Suwon,54.98227345001836,Tier B,Strategic Target,53.86465415478674,56.6587023928658,High spatial-transcriptomics evidence,No bottom-quartile consideration among reviewed signals
